group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection,cohort
148:166162,148,86,166162,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1488.625,True,False,True,True,False,False,E1_added
149:133086,149,86,133086,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1371.375,True,False,True,True,False,False,E1_added
151:127397,151,86,127397,hotpotqa,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,3.875,3.875,2365.875,True,False,True,True,False,False,E1_added
153:133738,153,86,133738,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1241.25,True,False,True,True,False,False,E1_added
154:58265,154,86,58265,nq,8,3,False,False,True,0.375,3.0,3.0,3.0,3.0,0.0,3.625,4.0,2068.0,False,True,True,False,False,True,GAP_displaced
155:125490,155,87,125490,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1335.875,True,False,True,True,False,False,E1_added
155:100113,155,87,100113,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.0,2.375,1287.625,True,False,True,True,False,False,E1_added
156:159485,156,87,159485,hotpotqa,8,8,False,True,False,1.0,3.125,3.125,3.0,4.0,1.0,3.125,4.125,1862.25,True,False,True,True,False,False,E1_added
158:122008,158,87,122008,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,866.25,True,False,True,True,False,False,E1_added
159:148703,159,87,148703,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1618.75,True,False,True,True,False,False,E1_added
159:69662,159,87,69662,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,2.625,2.625,1579.875,True,False,True,True,False,False,E1_added
161:164022,161,87,164022,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1123.25,True,False,True,True,False,False,E1_added
162:96613,162,87,96613,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1634.0,True,False,True,True,False,False,E1_added
163:152901,163,87,152901,hotpotqa,8,8,False,True,False,1.0,6.25,6.25,4.0,7.0,3.0,7.25,7.25,4294.25,True,False,True,True,False,False,E1_added
165:15228,165,87,15228,nq,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1124.0,True,False,True,True,False,False,E1_added
165:80921,165,87,80921,hotpotqa,8,1,False,False,True,0.125,4.125,4.0,4.0,4.0,0.0,5.125,5.125,2458.5,False,True,True,False,False,True,GAP_displaced
165:65930,165,87,65930,nq,8,1,False,False,True,0.125,1.875,1.0,1.0,1.0,0.0,1.875,2.875,1334.875,False,True,True,False,False,True,GAP_displaced
165:167591,165,87,167591,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2050.125,False,True,True,False,False,True,GAP_displaced
165:167260,165,87,167260,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1291.0,False,True,True,False,False,True,GAP_displaced
166:145462,166,88,145462,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,790.0,True,False,True,True,False,False,E1_added
166:158301,166,88,158301,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,2.0,2.625,1314.0,True,False,True,True,False,False,E1_added
167:108770,167,88,108770,hotpotqa,8,8,False,True,False,1.0,2.5,2.5,1.0,3.0,2.0,3.5,3.5,2118.25,True,False,True,True,False,False,E1_added
167:113328,167,88,113328,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,772.5,True,False,True,True,False,False,E1_added
169:48120,169,88,48120,nq,8,8,False,True,False,1.0,3.375,3.375,3.0,4.0,1.0,3.375,4.375,2055.5,True,False,True,True,False,False,E1_added
172:140052,172,88,140052,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1493.0,True,False,True,True,False,False,E1_added
174:121862,174,88,121862,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1569.0,True,False,True,True,False,False,E1_added
174:83170,174,88,83170,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1238.75,False,True,True,False,False,True,GAP_displaced
174:161862,174,88,161862,hotpotqa,8,7,False,False,True,0.875,2.0,2.0,2.0,2.0,0.0,3.0,3.0,2021.5,False,True,True,False,False,True,GAP_displaced
175:62861,175,89,62861,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1461.5,True,False,True,True,False,False,E1_added
178:32798,178,89,32798,nq,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,2.75,3.75,1859.25,True,False,True,True,False,False,E1_added
179:135151,179,89,135151,hotpotqa,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,3.75,3.75,2500.5,True,False,True,True,False,False,E1_added
182:137019,182,89,137019,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1266.625,True,False,True,True,False,False,E1_added
185:130562,185,89,130562,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,781.125,True,False,True,True,False,False,E1_added
186:114287,186,90,114287,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,1.375,2.375,1117.0,True,False,True,True,False,False,E1_added
187:149796,187,90,149796,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,4.0,3.0,2.375,2.375,1526.125,True,False,True,True,False,False,E1_added
188:113210,188,90,113210,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1767.875,True,False,True,True,False,False,E1_added
