group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
165:167591,165,87,10,167591,hotpotqa,8,1,False,False,True,0.125,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2050.125,3.0,False,212272,False,GAP_displaced
165:167260,165,87,10,167260,hotpotqa,8,4,False,False,True,0.5,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1291.0,2.0,False,212440,False,GAP_displaced
166:145462,166,88,0,145462,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,790.0,2.125,True,213184,True,E1_added
166:158301,166,88,0,158301,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.0,2.0,1314.0,2.625,True,213752,True,E1_added
167:108770,167,88,1,108770,hotpotqa,8,8,False,True,False,1.0,2.0,1.0,3.0,2.5,2.5,3.5,3.5,2118.25,3.5,True,213976,True,E1_added
167:113328,167,88,1,113328,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,772.5,2.125,True,214344,True,E1_added
169:48120,169,88,3,48120,nq,8,8,False,True,False,1.0,1.0,3.0,4.0,3.375,3.375,3.375,3.375,2055.5,4.375,True,217392,True,E1_added
172:140052,172,88,6,140052,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1493.0,2.25,True,220576,True,E1_added
174:121862,174,88,8,121862,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1569.0,2.375,True,223032,True,E1_added
174:83170,174,88,8,83170,hotpotqa,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1238.75,2.0,False,223272,False,GAP_displaced
174:161862,174,88,8,161862,hotpotqa,8,7,False,False,True,0.875,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2021.5,3.0,False,223440,False,GAP_displaced
175:62861,175,89,0,62861,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1461.5,2.375,True,224592,True,E1_added
178:32798,178,89,3,32798,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.75,2.75,2.75,2.75,1859.25,3.75,True,228096,True,E1_added
179:135151,179,89,4,135151,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.75,2.75,3.75,3.75,2500.5,3.75,True,230304,True,E1_added
182:137019,182,89,7,137019,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1266.625,2.875,True,234112,True,E1_added
185:130562,185,89,10,130562,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,781.125,2.125,True,237768,True,E1_added
186:114287,186,90,0,114287,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,1.375,1.375,1117.0,2.375,True,238128,True,E1_added
187:149796,187,90,1,149796,hotpotqa,8,8,False,True,False,1.0,3.0,1.0,4.0,1.375,1.375,2.375,2.375,1526.125,2.375,True,239568,True,E1_added
188:113210,188,90,2,113210,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1767.875,2.875,True,241032,True,E1_added
189:109923,189,90,3,109923,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1810.75,2.875,True,242736,True,E1_added
195:158341,195,90,9,158341,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.0,2.0,1368.25,2.75,True,250000,True,E1_added
196:81274,196,90,10,81274,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1523.875,2.25,True,251688,True,E1_added
196:83565,196,90,10,83565,hotpotqa,8,7,False,False,True,0.875,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1866.375,4.0,False,252008,False,GAP_displaced
196:15965,196,90,10,15965,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1167.375,2.0,False,252032,False,GAP_displaced
197:18886,197,91,0,18886,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.0,2.0,1252.5,2.125,True,253368,True,E1_added
201:37654,201,91,4,37654,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1074.0,2.5,True,257728,True,E1_added
203:160989,203,91,6,160989,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,1.25,1.25,943.25,2.25,True,260000,True,E1_added
203:83699,203,91,6,83699,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1169.5,2.75,True,260448,True,E1_added
203:93566,203,91,6,93566,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,905.75,2.125,True,261008,True,E1_added
204:103880,204,91,7,103880,hotpotqa,8,7,False,False,True,0.875,0.0,2.0,2.0,1.875,2.0,2.0,2.0,1311.25,2.875,False,261808,False,GAP_displaced
