group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:66552,0,71,66552,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1263.5,False,False,False,False,False,False
0:21236,0,71,21236,nq,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1317.0,False,False,False,False,False,False
0:41893,0,71,41893,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1243.0,False,False,False,False,False,False
0:140171,0,71,140171,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1224.5,False,True,True,False,False,True
0:152777,0,71,152777,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1246.5,False,False,False,False,False,False
0:35009,0,71,35009,nq,8,4,False,False,True,0.5,1.5,2.0,2.0,2.0,0.0,1.5,2.5,1050.5,False,True,True,False,False,True
0:27668,0,71,27668,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,682.0,False,False,False,False,False,False
0:155171,0,71,155171,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,716.5,False,False,False,False,False,False
0:53182,0,71,53182,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,738.75,False,False,False,False,False,False
0:26356,0,71,26356,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,779.0,False,False,False,False,False,False
0:121653,0,71,121653,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1247.0,False,False,False,False,False,False
0:152989,0,71,152989,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1552.0,False,False,False,False,False,False
0:83743,0,71,83743,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1318.0,False,False,False,False,False,False
0:137086,0,71,137086,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1985.5,False,False,False,False,False,False
1:142975,1,71,142975,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1322.0,False,False,False,False,False,False
1:37462,1,71,37462,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1424.0,False,False,False,False,False,False
1:20368,1,71,20368,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1346.0,False,False,False,False,False,False
1:74168,1,71,74168,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1094.0,False,False,False,False,False,False
1:27038,1,71,27038,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,743.0,False,False,False,False,False,False
1:111953,1,71,111953,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1208.0,False,False,False,False,False,False
1:164622,1,71,164622,hotpotqa,8,0,True,False,False,0.0,2.125,,,,0.0,3.0,3.125,2030.25,False,False,False,False,False,False
1:128756,1,71,128756,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,727.0,False,False,False,False,False,False
1:4195,1,71,4195,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1281.0,False,False,False,False,False,False
1:49578,1,71,49578,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,721.0,False,False,False,False,False,False
1:166374,1,71,166374,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1115.0,False,False,False,False,False,False
1:75294,1,71,75294,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1245.0,False,False,False,False,False,False
1:79486,1,71,79486,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1256.0,False,False,False,False,False,False
1:115408,1,71,115408,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1231.0,False,False,False,False,False,False
1:72007,1,71,72007,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1380.0,False,False,False,False,False,False
