group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
47:90391,47,76,90391,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1276.0,False,True,True,False,False,True
48:136684,48,76,136684,hotpotqa,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1339.0,False,True,True,False,False,True
49:90337,49,76,90337,hotpotqa,8,3,False,False,True,0.375,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1831.125,False,True,True,False,False,True
49:121303,49,76,121303,hotpotqa,8,7,False,False,True,0.875,1.875,2.0,2.0,2.0,0.0,1.875,2.875,1192.125,False,True,True,False,False,True
49:145441,49,76,145441,hotpotqa,8,6,False,False,True,0.75,2.25,2.0,2.0,2.0,0.0,2.25,3.25,1357.25,False,True,True,False,False,True
50:163006,50,76,163006,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1504.0,False,True,True,False,False,True
50:84690,50,76,84690,hotpotqa,8,7,False,False,True,0.875,2.125,2.142857142857143,2.0,3.0,1.0,2.125,3.125,1290.75,True,True,True,False,False,True
50:8892,50,76,8892,nq,8,5,False,False,True,0.625,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1888.375,False,True,True,False,False,True
51:99360,51,76,99360,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1231.625,False,True,True,False,False,True
51:46612,51,76,46612,nq,8,2,False,False,True,0.25,4.5,3.0,3.0,3.0,0.0,4.5,5.5,2550.0,False,True,True,False,False,True
51:23389,51,76,23389,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1290.0,False,True,True,False,False,True
51:136176,51,76,136176,hotpotqa,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1255.25,False,True,True,False,False,True
51:141490,51,76,141490,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1470.0,False,True,True,False,False,True
51:20879,51,76,20879,nq,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1506.875,False,True,True,False,False,True
52:30203,52,76,30203,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1280.5,False,True,True,False,False,True
52:89909,52,76,89909,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1328.25,False,True,True,False,False,True
52:132029,52,76,132029,hotpotqa,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1458.375,False,True,True,False,False,True
52:101512,52,76,101512,hotpotqa,8,5,False,False,True,0.625,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1232.625,False,True,True,False,False,True
53:77893,53,76,77893,nq,8,3,False,False,True,0.375,1.0,1.0,1.0,1.0,0.0,1.0,2.0,727.75,False,True,True,False,False,True
53:157831,53,76,157831,hotpotqa,8,6,False,False,True,0.75,2.5,2.6666666666666665,2.0,3.0,1.0,2.5,3.5,1758.375,True,True,True,False,False,True
53:85608,53,76,85608,hotpotqa,8,4,False,False,True,0.5,2.5,3.0,3.0,3.0,0.0,2.5,3.5,1606.5,False,True,True,False,False,True
54:127834,54,77,127834,hotpotqa,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,1.0,2.0,724.375,False,True,True,False,False,True
54:104751,54,77,104751,hotpotqa,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,1.375,2.375,1053.75,False,True,True,False,False,True
55:133394,55,77,133394,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,1.0,2.0,861.75,False,True,True,False,False,True
55:73798,55,77,73798,nq,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1333.25,False,True,True,False,False,True
56:31150,56,77,31150,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1377.125,False,True,True,False,False,True
56:12487,56,77,12487,nq,8,7,False,False,True,0.875,2.125,2.0,2.0,2.0,0.0,2.125,3.125,1429.5,False,True,True,False,False,True
57:76457,57,77,76457,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1182.25,False,True,True,False,False,True
57:65598,57,77,65598,nq,8,5,False,False,True,0.625,1.5,1.0,1.0,1.0,0.0,3.5,2.5,2066.375,False,True,True,False,False,True
